,Date,Code,Transect,adult,juv,col_m2,type,uo_DC,o_DC,DC,uo_LC,o_LC,LC,COTS,period,juv2,prop.dc
299,02/05/2013,M1,T1,4,0,0.27,Dead,41,4,45,2,2,4,0,1,4,0.918367347
292,02/05/2013,M1,T1,6,0,1.03,Dead,41,4,45,2,2,4,0,1,4,0.918367347
296,02/05/2013,M1,T1,8,0,0.76,Dead,41,4,45,2,2,4,0,1,4,0.918367347
302,02/05/2013,M1,T1,13,0,0.49,Dead,41,4,45,2,2,4,0,1,4,0.918367347
267,04/05/2013,L2,T2,0,1,0.06,Live,0,0,0,49,5,54,0,1,2,0
262,04/05/2013,L3,T3,0,1,0.12,Live,0,0,0,31,9,40,0,1,2,0
264,04/05/2013,L3,T3,0,1,0.09,Live,0,0,0,31,9,40,0,1,2,0
195,07/05/2013,L6,T3,0,1,0.06,Live,0,0,0,25,10,35,0,1,3,0
198,07/05/2013,L6,T3,0,1,0.05,Live,0,0,0,25,10,35,0,1,3,0
259,04/05/2013,L2,T2,1,0,0.35,Live,0,0,0,49,5,54,0,1,3,0
273,04/05/2013,L2,T2,1,1,0.05,Live,0,0,0,49,5,54,0,1,3,0
265,04/05/2013,L3,T3,1,0,0.09,Live,0,0,0,31,9,40,0,1,3,0
190,07/05/2013,L6,T3,1,0,0.13,Live,0,0,0,25,10,35,0,1,4,0
197,07/05/2013,L6,T3,1,1,0.11,Live,0,0,0,25,10,35,0,1,4,0
202,07/05/2013,L6,T3,1,0,0.05,Live,0,0,0,25,10,35,0,1,4,0
283,03/05/2013,R3,T3,1,0,0.25,Live,0,0,0,7,3,10,0,1,2,0
286,03/05/2013,R3,T3,1,0,0.08,Live,0,0,0,7,3,10,0,1,2,0
261,04/05/2013,L3,T3,2,0,0.25,Live,0,0,0,31,9,40,0,1,3,0
191,07/05/2013,L6,T3,2,0,0.23,Live,0,0,0,25,10,35,0,1,4,0
270,04/05/2013,L2,T2,3,0,0.08,Live,0,0,0,49,5,54,0,1,3,0
278,04/05/2013,L3,T3,5,1,0.1,Live,0,0,0,31,9,40,0,1,3,0
279,04/05/2013,L3,T3,5,1,0.09,Live,0,0,0,31,9,40,0,1,3,0
218,07/05/2013,L6,T3,6,0,0.11,Live,0,0,0,25,10,35,0,1,4,0
291,03/05/2013,R3,T3,6,2,0.04,Live,0,0,0,7,3,10,0,1,2,0
